,artist,track_name,track_id,date_added
96,Mt. Joy,Astrovan,14e46mURUUwB3i2vTe1gFz,2023-04-09 18:28:22+00:00
92,Mt. Joy,Astrovan,14e46mURUUwB3i2vTe1gFz,2023-04-09 18:28:21+00:00
84,Mt. Joy,Astrovan,14e46mURUUwB3i2vTe1gFz,2023-04-09 18:28:20+00:00
88,Mt. Joy,Astrovan,14e46mURUUwB3i2vTe1gFz,2023-04-09 18:28:20+00:00
64,Mt. Joy,Astrovan,14e46mURUUwB3i2vTe1gFz,2023-04-09 18:28:15+00:00
53,The Beach Boys,"Fun, Fun, Fun",4T5SR1krNuVLOnxSjYb8nW,2023-04-09 18:28:13+00:00
57,Mt. Joy,Astrovan,14e46mURUUwB3i2vTe1gFz,2023-04-09 18:28:13+00:00
51,Bruno Mars,If I Knew,7lXOqE38eCr979gp27O5wr,2023-04-09 18:28:12+00:00
0,Mt. Joy,Astrovan,14e46mURUUwB3i2vTe1gFz,2023-04-05 09:13:23+00:00
